GEOID,year,month,year-month,sale_amt,home_size,yr_blt,price_sf,Sub_geo
13063040202,2020,9,2020-9,142000.0,1512.0,1955.0,93.91534391534393,NW Clayton
13063040202,2020,4,2020-4,138500.0,1768.0,2005.0,78.33710407239819,NW Clayton
13063040202,2023,4,2023-4,240000.0,1768.0,2005.0,135.74660633484163,NW Clayton
13063040202,2020,1,2020-1,77000.0,1392.0,1988.0,55.31609195402299,NW Clayton
13063040202,2020,7,2020-7,107000.0,1902.0,2006.0,118.29652996845428,NW Clayton
13063040202,2022,2,2022-2,178700.0,1826.0,2006.0,97.86418400876232,NW Clayton
13063040202,2020,9,2020-9,80000.0,1135.0,1969.0,167.40088105726872,NW Clayton
13063040202,2020,9,2020-9,159900.0,1704.0,2003.0,146.71361502347418,NW Clayton
13063040202,2022,6,2022-6,245000.0,1902.0,2006.0,128.8117770767613,NW Clayton
13063040202,2023,4,2023-4,55000.0,960.0,1967.0,98.95833333333331,NW Clayton
13063040202,2022,12,2022-12,86000.0,2016.0,1969.0,42.65873015873016,NW Clayton
13063040202,2022,1,2022-1,165000.0,1712.0,1976.0,96.3785046728972,NW Clayton
13063040202,2022,2,2022-2,287000.0,2832.0,1988.0,101.34180790960453,NW Clayton
13063040202,2021,3,2021-3,85800.0,1392.0,1989.0,61.63793103448276,NW Clayton
13063040202,2021,3,2021-3,85800.0,1416.0,1989.0,60.59322033898305,NW Clayton
13063040202,2022,8,2022-8,60000.0,1044.0,1962.0,57.47126436781609,NW Clayton
13063040202,2024,2,2024-2,197000.0,1628.0,1977.0,121.007371007371,NW Clayton
13063040202,2022,8,2022-8,207000.0,1500.0,1996.0,76.66666666666667,NW Clayton
13063040202,2023,11,2023-11,260000.0,2148.0,2005.0,121.04283054003724,NW Clayton
13063040202,2024,2,2024-2,159000.0,1204.0,1984.0,122.09302325581396,NW Clayton
13063040202,2023,7,2023-7,239900.0,992.0,1962.0,241.83467741935485,NW Clayton
13063040202,2023,3,2023-3,215000.0,1776.0,1980.0,132.31981981981983,NW Clayton
13063040202,2024,2,2024-2,175000.0,1113.0,1967.0,157.23270440251574,NW Clayton
13063040202,2021,8,2021-8,75000.0,1416.0,1988.0,52.96610169491525,NW Clayton
