GEOID,year,sale_amt,home_size,yr_blt,price_sf
13063040202,2024,159000.0,1204.0,1984.0,122.09302325581395
13063040202,2023,239900.0,992.0,1962.0,241.83467741935485
13063040202,2023,215000.0,1776.0,1980.0,132.31981981981983
13063040202,2024,175000.0,1113.0,1967.0,157.23270440251574
13063040202,2021,75000.0,1416.0,1988.0,52.96610169491525
13063040202,2023,95000.0,1018.0,1984.0,93.32023575638507
13063040202,2022,258500.0,1792.0,1983.0,144.25223214285714
13063040202,2022,157000.0,1296.0,1967.0,121.14197530864196
13063040202,2022,44988.0,985.0,1957.0,45.673096446700505
13063040202,2022,220000.0,952.0,1962.0,231.0924369747899
13063040202,2023,152000.0,1623.0,1967.0,181.76216882316697
13063040202,2020,145000.0,1708.0,1967.0,84.89461358313817
13063040202,2021,103000.0,1512.0,1955.0,68.12169312169313
13063040202,2021,212000.0,1826.0,2006.0,116.10076670317636
13063040202,2020,120000.0,1240.0,1987.0,156.8548387096774
13063040202,2023,115000.0,1370.0,1967.0,83.94160583941606
13063040202,2023,214000.0,1046.0,1985.0,204.5889101338432
13063040202,2021,185000.0,2864.0,1988.0,64.59497206703911
13063040202,2020,204000.0,1826.0,2006.0,111.71960569550932
13063040202,2020,109500.0,960.0,1962.0,114.0625
13063040202,2020,87500.0,900.0,1957.0,97.22222222222224
13063040202,2021,180000.0,1248.0,1985.0,144.23076923076923
13063040202,2020,63525.0,1064.0,1985.0,59.703947368421055
13063040202,2022,133000.0,1036.0,1967.0,128.3783783783784
13063040202,2021,158000.0,1164.0,1953.0,135.73883161512026
13063040202,2021,195900.0,1823.0,1967.0,107.46023038946792
13063040202,2021,200000.0,2004.0,2003.0,99.8003992015968
13063040202,2023,90000.0,1216.0,1957.0,76.48026315789474
13063040202,2023,362000.0,2253.0,1969.0,160.6746560142033
13063040202,2022,231000.0,1864.0,2006.0,123.92703862660944
13063040203,2020,140000.0,1500.0,2003.0,93.33333333333331
13063040203,2021,215000.0,1864.0,2021.0,115.34334763948496
13063040203,2023,323000.0,2100.0,1989.0,153.8095238095238
13063040203,2022,335000.0,2640.0,1988.0,126.8939393939394
13063040203,2020,160000.0,1826.0,1969.0,87.62322015334064
13063040203,2022,312000.0,2580.0,2008.0,120.93023255813954
13063040203,2022,195000.0,2015.0,1967.0,96.7741935483871
13063040203,2021,214000.0,1864.0,2021.0,114.8068669527897
13063040203,2020,215000.0,1864.0,2020.0,115.34334763948496
13063040203,2021,223000.0,1768.0,2021.0,126.13122171945702
13063040203,2022,295000.0,2580.0,2008.0,114.34108527131782
13063040203,2022,485000.0,3252.0,1986.0,149.1389913899139
13063040203,2021,470000.0,3184.0,1988.0,147.61306532663318
13063040203,2021,281000.0,2150.0,2007.0,130.69767441860466
13063040203,2023,462000.0,3212.0,1986.0,143.83561643835617
13063040203,2020,149000.0,1851.0,1969.0,80.49702863317125
13063040203,2023,310000.0,2580.0,2007.0,120.15503875968992
13063040203,2020,220000.0,2260.0,1991.0,97.34513274336284
13063040203,2021,184000.0,1918.0,1968.0,95.93326381647547
13063040203,2021,150000.0,1380.0,2004.0,195.5202898550725
13063040203,2020,158000.0,2088.0,1987.0,75.67049808429118
13063040203,2021,125000.0,1340.0,1981.0,93.28358208955224
13063040203,2021,196133.0,1500.0,2003.0,130.75533333333334
13063040203,2020,117000.0,1380.0,2003.0,84.78260869565217
13063040203,2020,22500.0,1008.0,1972.0,22.321428571428573
13063040203,2020,25000.0,1008.0,1972.0,24.8015873015873
13063040203,2020,60000.0,1008.0,1972.0,59.523809523809526
13063040203,2020,55000.0,1008.0,1972.0,54.56349206349206
13063040203,2020,24000.0,1008.0,1972.0,23.80952380952381
13063040203,2020,60000.0,1008.0,1972.0,59.523809523809526
13063040203,2020,63000.0,1008.0,1972.0,62.5
13063040203,2020,211000.0,2580.0,2007.0,81.78294573643412
13063040203,2020,164411.0,2084.0,2016.0,86.85220729366603
13063040203,2020,142000.0,1320.0,2003.0,107.57575757575758
13063040203,2020,200000.0,2084.0,2016.0,95.96928982725528
13063040203,2021,213000.0,2640.0,2007.0,80.68181818181819
13063040203,2022,325000.0,2417.0,2022.0,134.46421183285065
13063040203,2022,245000.0,1851.0,1958.0,132.3608860075635
13063040203,2020,22000.0,1008.0,1972.0,21.825396825396822
13063040203,2020,184300.0,1180.0,1961.0,156.1864406779661
13063040203,2023,60000.0,1272.0,1969.0,137.5786163522013
13063040203,2021,200000.0,1560.0,2003.0,128.2051282051282
13063040203,2022,165000.0,1852.0,1969.0,89.09287257019439
13063040203,2020,185000.0,2580.0,2007.0,71.70542635658914
13063040203,2022,310000.0,1810.0,1948.0,80.93922651933701
13063040203,2021,106500.0,1073.0,1966.0,149.81360671015844
13063040203,2021,170000.0,1344.0,2007.0,126.48809523809524
13063040203,2021,146500.0,1548.0,2007.0,94.63824289405684
13063040203,2022,220000.0,1548.0,2007.0,142.1188630490956
13063040203,2022,226000.0,1444.0,2007.0,156.50969529085873
13063040203,2022,200000.0,1344.0,2007.0,177.08333333333334
13063040203,2022,221700.0,1454.0,2007.0,152.47592847317745
13063040203,2022,430000.0,3184.0,1988.0,135.0502512562814
13063040203,2021,155000.0,1444.0,2007.0,107.34072022160665
13063040203,2022,216000.0,1468.0,2007.0,147.13896457765668
13063040203,2023,205000.0,1344.0,2007.0,152.5297619047619
13063040203,2022,250000.0,1848.0,2006.0,135.28138528138527
13063040203,2021,217000.0,1648.0,2007.0,131.6747572815534
13063040203,2023,297000.0,1786.0,2016.0,166.29339305711088
13063040203,2020,192000.0,2057.0,2015.0,93.33981526494895
13063040203,2021,195000.0,1520.0,2007.0,128.28947368421052
13063040203,2021,135000.0,1392.0,2007.0,96.98275862068964
13063040203,2022,225000.0,1520.0,2007.0,148.02631578947367
13063040203,2020,210000.0,2580.0,2007.0,81.3953488372093
13063040203,2023,299900.0,2046.0,2007.0,146.57869012707724
13063040203,2021,210000.0,1456.0,2004.0,144.23076923076923
13063040203,2020,190000.0,2238.0,2008.0,84.89722966934764
13063040203,2020,116000.0,1372.0,2007.0,84.54810495626822
13063040203,2022,201300.0,1448.0,2008.0,139.01933701657458
13063040203,2023,200000.0,1448.0,2008.0,138.12154696132598
13063040203,2021,150000.0,1444.0,2008.0,103.8781163434903
13063040203,2021,137250.0,1524.0,2008.0,90.05905511811024
13063040203,2023,197500.0,1462.0,2007.0,135.08891928864568
13063040203,2021,281500.0,1926.0,2014.0,146.15784008307372
13063040203,2023,333000.0,2670.0,1989.0,124.71910112359552
13063040203,2022,315000.0,1636.0,2008.0,192.54278728606357
13063040203,2022,180000.0,1000.0,1962.0,180.0
13063040203,2020,42800.0,1857.0,1963.0,23.0479267635972
13063040203,2021,155000.0,1749.0,2005.0,88.62206975414523
13063040203,2020,139999.0,1320.0,2003.0,144.3181818181818
13063040203,2023,249900.0,1320.0,2004.0,189.3181818181818
13063040203,2022,173500.0,1301.0,1967.0,133.35895465026903
